Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,63.799999,64.959999,63.779999,64.699997,60.696114,8460500
2020-01-03,64.370003,65.050003,63.990002,64.440002,60.452206,2806400
2020-01-06,64.279999,64.410004,62.970001,63.110001,59.204514,2706300
2020-01-07,63.000000,64.209999,63.000000,63.389999,59.467182,3092800
2020-01-08,62.820000,62.970001,62.099998,62.410000,58.547829,4818900
2020-01-09,62.950001,63.639999,62.320000,62.820000,58.932457,3116200
2020-01-10,63.090000,63.090000,62.410000,62.480000,58.613495,2029500
2020-01-13,62.000000,62.869999,61.779999,62.810001,58.923077,3485000
2020-01-14,62.880001,63.389999,62.404999,62.770000,58.885551,2056000
2020-01-15,62.930000,63.299999,62.660000,62.730000,58.848034,3758700
2020-01-16,62.689999,63.639999,62.490002,63.169998,59.260796,3513700
2020-01-17,63.270000,64.279999,63.029999,64.129997,60.161385,2418100
2020-01-21,65.129997,65.830002,64.750000,65.300003,61.258987,2329000
2020-01-22,65.629997,65.739998,65.050003,65.129997,61.099503,2026300
2020-01-23,64.949997,65.330002,64.760002,65.279999,61.240223,1410800
2020-01-24,65.379997,65.440002,64.029999,64.239998,60.264580,2417400
2020-01-27,63.220001,63.849998,63.130001,63.570000,59.636047,1596400
2020-01-28,63.650002,64.000000,62.689999,62.790001,58.904316,2332100
2020-01-29,62.849998,63.779999,62.610001,62.820000,58.932457,2610600
2020-01-30,62.610001,62.669998,61.900002,62.020000,58.181965,1348800
2020-01-31,61.900002,62.250000,60.779999,61.009998,57.234467,2245700
2020-02-03,61.130001,61.384998,60.580002,60.759998,56.999939,2408900
2020-02-04,61.040001,61.799999,60.840000,61.689999,57.872387,2581800
2020-02-05,62.000000,63.099998,61.570000,63.099998,59.195126,2498100
2020-02-06,63.119999,63.500000,62.459999,63.150002,59.242039,2545500
2020-02-07,62.980000,63.939999,62.700001,63.860001,59.908100,2887700
2020-02-10,65.260002,66.169998,63.520000,65.610001,61.549809,5802300
2020-02-11,65.800003,66.500000,65.459999,66.410004,62.300304,2133900
2020-02-12,66.610001,66.660004,65.930000,66.220001,62.122055,1832300
2020-02-13,66.080002,66.705002,66.000000,66.400002,62.290916,2478200
2020-02-14,66.349998,67.330002,66.349998,67.239998,63.078930,1443000
2020-02-18,67.239998,67.315002,65.980003,66.150002,62.056389,1395300
2020-02-19,66.150002,66.500000,65.889999,65.919998,61.840626,1470200
2020-02-20,65.919998,66.529999,65.750000,66.309998,62.206482,1347200
2020-02-21,66.110001,66.200996,65.400002,65.870003,61.793709,1519300
2020-02-24,64.419998,65.260002,64.180000,64.309998,60.330250,2634900
2020-02-25,64.510002,65.230003,62.400002,62.939999,59.045033,3034200
2020-02-26,62.820000,63.619999,61.189999,61.650002,57.834866,3659300
2020-02-27,60.509998,61.040001,59.080002,60.090000,56.371403,3449400
2020-02-28,58.669998,59.450001,57.049999,58.500000,54.879799,6118100
2020-03-02,58.689999,59.470001,57.445000,59.410000,55.733482,2859300
2020-03-03,59.400002,59.869999,56.610001,57.110001,53.575813,3305800
2020-03-04,57.599998,58.110001,56.750000,57.380001,53.829102,2017800
2020-03-05,56.380001,56.380001,53.520000,53.759998,50.433125,4168100
2020-03-06,52.439999,55.220001,52.080002,55.029999,51.624535,3452900
2020-03-09,51.970001,53.630001,51.500000,52.250000,49.016571,4230300
2020-03-10,53.340000,53.990002,51.220001,52.570000,49.316765,2587800
2020-03-11,51.509998,51.509998,47.330002,47.799999,44.841953,4263800
2020-03-12,43.160000,44.580002,42.060001,42.730000,40.085709,4175400
2020-03-13,44.590000,45.779999,41.310001,45.630001,43.333588,4714600
2020-03-16,40.290001,40.380001,34.830002,35.560001,33.770382,5987500
2020-03-17,36.130001,36.200001,31.485001,32.740002,31.092299,7106100
2020-03-18,30.620001,31.080000,25.080000,28.250000,26.828268,7539900
2020-03-19,27.840000,32.869999,26.660000,29.950001,28.442711,8081600
2020-03-20,31.129999,34.320000,30.190001,32.020000,30.408537,6129400
2020-03-23,31.980000,34.849998,31.000000,32.439999,30.807396,6951500
2020-03-24,35.180000,38.910000,34.700001,38.630001,36.685879,6082200
2020-03-25,39.720001,45.689999,38.209999,43.869999,41.662163,10248600
2020-03-26,44.139999,47.110001,42.174999,43.630001,41.434238,6506500
2020-03-27,41.040001,41.900002,39.209999,40.529999,38.490253,3391800
2020-03-30,39.970001,40.750000,38.540001,40.270000,38.243340,2716100
2020-03-31,40.270000,40.740002,39.000000,40.029999,38.015415,3793400
2020-04-01,38.130001,39.299999,36.389999,36.490002,34.653580,4070900
2020-04-02,36.240002,37.125000,34.509998,34.810001,33.058125,5640400
2020-04-03,33.939999,34.509998,33.000000,33.270000,31.595629,7345600
2020-04-06,36.000000,38.150002,35.150002,37.790001,35.888149,8110900
2020-04-07,41.549999,42.959999,38.660000,39.310001,37.331650,7516300
2020-04-08,39.540001,42.685001,38.910000,41.919998,39.810299,6926100
2020-04-09,43.419998,45.799999,42.750000,43.900002,41.690651,7411800
2020-04-13,43.689999,43.740002,41.099998,41.919998,39.810299,4817300
2020-04-14,42.990002,43.910000,42.090000,42.639999,40.494064,3788200
2020-04-15,40.490002,41.990002,40.180000,41.669998,39.572880,4634700
2020-04-16,41.680000,42.830002,41.009998,42.529999,40.389595,3220100
2020-04-17,44.830002,46.049999,44.169998,45.980000,43.665970,5181700
2020-04-20,44.880001,45.380001,43.834999,44.080002,41.861591,3349100
2020-04-21,42.660000,43.500000,42.009998,42.369999,40.237652,2953600
2020-04-22,43.700001,45.560001,42.990002,45.250000,42.972710,4665400
2020-04-23,45.520000,47.070000,44.919998,46.180000,43.855904,6804900
2020-04-24,46.490002,47.040001,45.889999,46.790001,44.435211,4134800
2020-04-27,47.430000,48.535000,47.099998,47.840000,45.432365,5714200
2020-04-28,49.000000,49.805000,47.660000,49.490002,46.999325,3758700
2020-04-29,51.270000,52.160000,50.930000,51.110001,48.537796,4160600
2020-04-30,50.029999,50.669998,48.820000,49.299999,46.818890,5022800
2020-05-01,47.279999,48.820000,46.200001,48.320000,45.888206,6919800
2020-05-04,47.490002,49.279999,46.380001,48.990002,46.524490,6665700
